"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1",-604.215221105649,-1277.59572447648,-242.381204663967,-1134.02678203672,-155.655079673254,-461.374651962902,-307.328250675042,-336.969343485966,-724.642973998447,-2300.71503950869,-700.710752414259,-483.331036456204,120.283330999664,-85.4758211908083,-568.481356477703,-319.493811609171,-216.612295264538,-735.109815494372,-608.979234735161,-2296.33825678433,123.439338254399,-115.125982354175,-1106.58214923925,-1892.07637721606,-390.395284690441,-347.926980830172,-2414.74339911795,1354.23025009687,-3.51514985955964,-101.777062167435,-131.366787138428,288.328948564105,360.81714843288,86.6163332339238,-1352.17249571265,-195.279543055475,-363.275997888637,493.773623982484,-516.790418985354,-208.236942865895,-1474.21876748659,277.103022115432,-1108.23039444217,-10.8158449879911,-216.722224472474
"2",-1315.36018987112,-1924.31919217215,-676.493568242847,-516.713565895363,-709.560597667395,-848.678140437325,67.4001608914996,-1320.22927745765,-1854.78420195222,-2768.64101948199,-359.035722124358,-1202.82573149679,372.269650848524,729.587431219741,-389.840067441341,68.8853316020268,-17.6406926522814,-476.818231517585,966.644605638852,-2884.26980046762,386.41742048686,813.391035938139,-953.346218800023,-282.458895741274,-73.6096497765047,47.0791164816837,-3179.5713119844,4063.13637175091,398.343045346957,151.213957080969,138.453655936257,388.603814560862,1241.27366605089,-289.314056187755,-621.4357148909,-19.9327898115498,-564.732161629179,317.246783333743,-496.885170198671,967.257090239731,-1315.51545924332,1412.63405778903,-2088.92246216466,107.685811237357,-166.463628983576
"3",-3672.0251467907,-3293.78987467342,-1277.50586947388,-773.829702919989,-1328.9675231912,-1677.55332643072,-71.0072179366553,-2342.16338991385,-2677.0346941097,-4223.32642596723,-1360.8319327607,-2717.39007362877,-518.957190879522,-928.205751572201,-584.718898176126,-272.158659950919,-342.693953106549,-1600.85728487343,775.631929748251,-4963.43435821179,92.6410144172223,818.374440456251,-1796.38859327031,-695.187084936173,-326.67591011896,-782.83083236013,-2368.38549079926,227.231240477573,226.376662163884,-162.181078518709,-378.448595099519,1011.33118076076,1548.2690791302,-789.746059397256,-506.812380252648,-92.3685384653236,-1174.03521443335,-791.291104174557,-1641.71378050675,66.3899248335438,-2597.84502742691,1579.82565376555,-2435.56715646964,31.0721774778849,-412.572630171069
"4",-4903.00706762824,-5294.08184560857,-1474.79057268051,-1639.47048397935,-1741.22965214195,-2900.33803741265,-179.355621410118,-2785.47773525404,-2758.02744742382,-5060.36424796817,-1957.16721428499,-3764.63341672121,-1377.32858474927,-1553.93640839521,-1040.46947421138,-226.591382649438,-920.933617420107,-2152.69779164894,-67.01221494528,-7074.32488131884,-66.0004904851648,599.58896805318,-2373.16077695255,-1923.65894239606,-472.306048468656,-1089.04803159535,-3528.20695202155,-685.23113725051,240.547715622807,-572.490162371012,-858.861121399867,876.952316860319,1682.66762224955,-1285.65803054116,-1338.55383087463,-825.001703619568,-2055.77479140537,-1285.59089555886,-1801.77112179862,136.306608698998,-3404.63133143377,945.922061582383,-2572.51606369036,-769.087940622394,-453.792820266672
"5",-4667.57259860208,-6930.67094640692,-2034.45287527712,-2736.85353724952,-1963.7300639257,-3663.81159581853,-588.891678745388,-3832.96945286734,-3337.89007705247,-5092.12067329384,-2967.92429278982,-4630.82056405131,-1085.18685492263,-1026.46140690283,-1608.01812025798,76.8715584873344,-1101.07492654781,-3216.12044543071,-1186.1805614314,-8924.54327252585,-174.249656760829,595.158344627971,-2981.30918243478,-3021.53378014152,-830.398598303384,-1077.48535505121,-3603.68840423539,-753.155545705842,-58.6836676456996,-1194.84464840804,-1212.33245711333,603.114681539475,2095.84167832214,-1546.11498908572,-1475.7747040968,-1863.52528549295,-2066.20034030222,-1487.20936183479,-2128.62764322268,550.931825368849,-4632.93516469594,546.481930680702,-2507.22919517386,-723.036759031444,-1343.33401572467
"6",-5477.83662118379,-6833.08764856395,-2121.77248053233,-2724.14613676901,-1895.13176574545,-2800.87555413376,-458.850695418475,-3894.50358650757,-3300.0595742501,-3700.80868648489,-2573.28420866286,-4447.62078594024,100.96762660173,1133.08392734518,-1268.37107141824,359.252123533119,-721.446218939916,-2418.46216720402,-641.647491184704,-7973.18408994457,16.7060657592319,1945.67258919157,-1706.05556191769,-1989.73097053419,-254.824957807559,-759.860015220343,-1478.68095010873,1580.68253789632,384.6457098117,-2140.48872516821,-829.094047072569,731.029154873417,2248.1269396946,-1226.00967980325,-1391.89235342636,-1854.32140829116,-2261.19368583336,-995.853237280832,-1902.82860888556,1644.19158875223,-4566.98349154997,1313.21990535515,-2266.38193792099,-870.665101946933,-904.014279329933
"7",-9015.39858337572,-10292.0737134771,-3706.66720692989,-7133.89804908718,-3156.64258266943,-6364.64260499407,-1353.37291942193,-5407.34732220313,-4994.51154420089,-6273.65248427481,-5411.98479112267,-5491.92393700182,-3370.51516477428,-3492.93866957531,-2410.18100460573,-263.475071967679,-2181.10088514295,-4279.2698405703,-3705.01544287453,-15847.1145470486,-162.767366781643,-347.898350753008,-6499.61257732112,-4972.63809638975,-1847.62439660786,-2242.21347159175,-3408.05831599646,-695.060817078996,-1199.94250286518,-3505.42450253274,-1631.4351278244,-1225.05629608688,2922.34046125012,-2907.92481807633,-1774.38325647791,-1464.18926244674,-2697.34413173677,-2151.8929324847,-5676.49230675717,-214.314346991352,-7456.66607110986,1663.40280153926,-2957.91687880368,-1561.51174310185,-2265.4352275678
"8",-9917.6525281019,-11181.5403985807,-4318.1131835918,-6711.41559906906,-3737.78017094375,-8714.46168825852,-2154.33769160421,-5154.93680205005,-5567.24489125285,-9040.80815263301,-7735.62229936423,-6501.94640548018,-4766.31246987518,-2854.86137379051,-1899.57459858363,-0.103948930164734,-2268.10596085449,-3854.76853007791,-3973.57226542379,-15754.3093075283,-927.889785886418,951.860015617036,-5315.91135637605,-5601.19583470986,-1340.54236709778,-2385.0716790201,-1814.2493253821,-1118.38031489054,-1477.69195841668,-4007.05857594504,-1600.85177702503,-1747.14044140924,2810.31879368412,-3375.46680647574,-2143.9655599564,-1239.16665622912,-2050.2048390313,-2851.65292795146,-7643.81415505194,783.687303676703,-9073.18681399689,1321.15862865503,-4360.31457293217,-1716.17431116222,-2402.33523584836
"9",-9902.96860367684,-11323.9675465915,-5209.28633098518,-5998.70940991432,-3632.35473741614,-6691.68151231542,-1494.16267621978,-5019.02229282051,-5009.85413095248,-7566.98844833047,-7013.99849450781,-5968.61498524657,-2399.63049307297,999.740668454957,-779.46569911504,-550.173351356388,-2661.48389669664,-2934.10096792291,-1511.51570266073,-12756.0546927771,-713.538261671041,2167.14557249947,-4031.27826621566,-4834.97569062704,-458.142150741587,-2549.55197615863,891.607572514531,-94.7562370722735,-1229.98206241011,-4975.37764823603,-1348.47894960377,-943.755796800031,2651.86465524683,-3010.34987796453,-1534.54215461087,-1908.54445375067,-2336.59409492832,-2474.46340330112,-5627.5917485452,1143.39900596418,-8505.86653899063,1323.46602774206,-4370.28772793281,-2041.1534905816,-2047.6492808785
"10",-9293.96267383419,-11997.4956739985,-5652.41717771089,-6505.30643472473,-3742.34177875072,-6403.17267517799,-1815.71052571229,-6088.28575043497,-4906.7033314222,-6913.30527316077,-6047.66543420079,-5975.2033134994,-3761.00599260053,3010.44270487474,-704.728237300332,-334.31841420929,-3165.54755279248,-2469.81376820302,-1298.98835017821,-12361.1966574827,-15.2207132543663,2582.29897369436,-5144.94929191652,-5174.07523077885,-74.598104447341,-2851.93023319264,1790.5104305042,24.4463910136219,-1934.51198109879,-5898.49349736734,-1493.48689171246,-916.026746107122,3162.7036375897,-3557.38988164115,-15.8761124610628,-2286.23227331885,-3242.56629385627,-2601.79629971514,-5331.00338462657,891.003623145074,-8507.71136831077,1493.0054591598,-3242.4455246884,-2813.72789941318,-1045.55155683573
